,LAT,LON,Cuenta
54,6.1573415,-75.581517,5
129,6.160052,-75.591927,5
146,6.1604427,-75.582655,5
429,6.1669512,-75.590886,5
85,6.1584668,-75.58522,5
496,6.1681701,-75.588141,5
284,6.1642323,-75.585278,5
149,6.1605434,-75.585336,5
269,6.1639481,-75.581155,5
255,6.1636292,-75.583076,5
254,6.1636005,-75.582434,5
246,6.1633404,-75.588362,5
138,6.1602927,-75.5844,5
214,6.162373,-75.592714,5
341,6.1653154,-75.582029,5
93,6.1588243,-75.5809,5
580,6.1696376,-75.591023,5
340,6.1652951,-75.58503,5
305,6.1646854,-75.589594,5
383,6.166081,-75.580642,5
142,6.1603728,-75.58525,5
176,6.1613044,-75.594874,5
507,6.1683815,-75.580644,4
686,6.1715927,-75.577428,4
482,6.16792,-75.583212,4
396,6.1662635,-75.582062,4
710,6.1719468,-75.581993,4
137,6.1602671,-75.586879,4
400,6.1663095,-75.595246,4
90,6.1587808,-75.585208,4
707,6.1718954,-75.575033,4
705,6.1718659,-75.591329,4
873,6.1751249,-75.586515,4
875,6.1751316,-75.577848,4
405,6.166398,-75.594283,4
411,6.1665483,-75.584101,4
318,6.1648768,-75.581505,4
700,6.1717863,-75.583482,4
699,6.171774,-75.58105,4
782,6.173099,-75.588488,4
322,6.1649208,-75.58776,4
684,6.1715489,-75.57932,4
878,6.1751755,-75.584091,4
407,6.1664084,-75.587413,4
879,6.1752051,-75.561061,4
310,6.1648031,-75.584295,4
307,6.1647886,-75.594306,4
767,6.1728581,-75.571424,4
691,6.1716438,-75.579752,4
887,6.1754365,-75.584839,4
499,6.1682355,-75.583747,4
141,6.1603244,-75.592782,4
888,6.1754904,-75.584928,4
877,6.1751726,-75.588706,4
375,6.1659491,-75.58778,4
753,6.1726222,-75.581338,4
111,6.159252,-75.594791,4
812,6.1738596,-75.582667,4
1038,6.183941,-75.580552,4
1036,6.1836467,-75.582343,4
443,6.1671037,-75.58949,4
367,6.1658504,-75.587816,4
818,6.173928,-75.579806,4
363,6.1657455,-75.579536,4
