,Fecha,Hora,DOW,Coordenadas,Ciudad,Heridos,Cuenta heridos,Muertos,Cuenta muertos,Clase accidente,Barrio,Tipo vehiculo
1792,2020-10-08,17,4,"3.53203,-76.29232",Palmira,1,,0,,Atropello,BIZERTA,NO APLICA
1793,2020-10-20,12,2,"3.53501,-76.31416",Palmira,0,,0,,Choque,PRADO,CAMIONETA
1794,2020-10-20,12,2,"3.53501,-76.31416",Palmira,0,,0,,Choque,PRADO,CAMIONETA
1795,2020-10-19,22,1,"3.5811,-76.32815",Palmira,0,,0,,Choque,VIA CORONADO ROZO,AUTOMOVIL
1796,2020-10-20,15,2,"3.54249,-76.30287",Palmira,0,,0,,Choque,BENEDICTA,AUTOMOVIL
1797,2020-10-20,15,2,"3.54249,-76.30287",Palmira,0,,0,,Choque,BENEDICTA,MOTO
1798,2020-10-20,12,2,"3.52458,-76.28772",Palmira,0,,0,,Choque,COLOMBINA,AUTOMOVIL
1799,2020-10-12,0,1,"3.54257,-76.30739",Palmira,1,,0,,Choque,SANTA TERESITA,AUTOMOVIL
1800,2020-10-12,0,1,"3.54257,-76.30739",Palmira,1,,0,,Choque,SANTA TERESITA,MOTO
1801,2020-10-12,0,1,"3.54257,-76.30739",Palmira,1,,0,,Choque,SANTA TERESITA,NO APLICA
1802,2020-10-21,15,3,"3.52859,-76.30322",Palmira,0,,0,,Choque,CENTRO,BUS
1803,2020-10-21,15,3,"3.52859,-76.30322",Palmira,0,,0,,Choque,CENTRO,AUTOMOVIL
1804,2020-10-21,15,3,"3.53496,-76.29772",Palmira,0,,0,,Choque,SANTA RITA,CAMIONETA
1805,2020-10-21,15,3,"3.53496,-76.29772",Palmira,0,,0,,Choque,SANTA RITA,AUTOMOVIL
1806,2020-10-22,15,4,"3.52256,-76.29344",Palmira,1,,0,,Choque,TREBOL,MOTO
1807,2020-10-22,15,4,"3.52256,-76.29344",Palmira,1,,0,,Choque,TREBOL,MOTO
1808,2020-10-22,15,4,"3.52256,-76.29344",Palmira,1,,0,,Choque,TREBOL,NO APLICA
1809,2020-10-22,20,4,"3.53521,-76.30036",Palmira,1,,0,,Choque,COLOMBIA,MOTO
1810,2020-10-22,20,4,"3.53521,-76.30036",Palmira,1,,0,,Choque,COLOMBIA,AUTOMOVIL
1811,2020-10-22,20,4,"3.50076,-76.30129",Palmira,0,,0,,Choque,LA ITALIA,AUTOMOVIL
1812,2020-10-23,20,5,"3.52678,-76.28948",Palmira,1,,0,,Choque,COLOMBINA,MOTO
1813,2020-10-23,20,5,"3.52678,-76.28948",Palmira,1,,0,,Choque,COLOMBINA,CAMPERO
1814,2020-10-23,20,5,"3.52678,-76.28948",Palmira,1,,0,,Choque,COLOMBINA,NO APLICA
1815,2020-10-24,11,6,"3.53702,-76.28573",Palmira,0,,0,,Choque,PRIMERO DE MAYO,AUTOMOVIL
1816,2020-10-24,11,6,"3.53702,-76.28573",Palmira,0,,0,,Choque,PRIMERO DE MAYO,AUTOMOVIL
1817,2020-10-24,7,6,"3.53873,-76.30687",Palmira,1,,0,,Volcamiento,INDUSTRIAL,MOTO
1818,2020-10-24,7,6,"3.53873,-76.30687",Palmira,1,,0,,Volcamiento,INDUSTRIAL,BUS
1819,2020-10-15,12,4,"3.53037,-76.27731",Palmira,0,,0,,Volcamiento,LOS SAUSES,MOTO
1820,2020-10-25,18,7,"3.61838,-76.42282",Palmira,0,,1,,Choque,CENTRO POBLADO LA TORRE,MOTO
1821,2020-10-25,18,7,"3.61838,-76.42282",Palmira,0,,1,,Choque,CENTRO POBLADO LA TORRE,BICICLETA
1822,2020-10-25,18,7,"3.61838,-76.42282",Palmira,0,,1,,Choque,CENTRO POBLADO LA TORRE,NO APLICA
1823,2020-10-25,5,7,"3.52673,-76.32826",Palmira,0,,1,,Volcamiento,VIA CALI PALMIRA,MOTO
1824,2020-10-25,5,7,"3.52673,-76.32826",Palmira,0,,1,,Volcamiento,VIA CALI PALMIRA,MOTO
1825,2020-10-24,19,6,"3.51893,-76.30312",Palmira,1,,0,,Choque,NUEVO,MOTO
1826,2020-10-23,21,5,"3.54163,-76.31165",Palmira,1,,0,,Choque,JUAN PABLO,MOTO
1827,2020-10-23,21,5,"3.54163,-76.31165",Palmira,1,,0,,Choque,JUAN PABLO,NO APLICA
1828,2020-10-26,17,1,"3.54776,-76.28961",Palmira,0,,0,,Choque,MERCEDES,MOTO
1829,2020-10-26,17,1,"3.54776,-76.28961",Palmira,0,,0,,Choque,MERCEDES,AUTOMOVIL
1830,2020-10-26,17,1,"3.52255,-76.29344",Palmira,1,,0,,Choque,SEMBRADOR,MOTO
1831,2020-10-26,17,1,"3.52255,-76.29344",Palmira,1,,0,,Choque,SEMBRADOR,AUTOMOVIL
1832,2020-10-26,17,1,"3.52255,-76.29344",Palmira,1,,0,,Choque,SEMBRADOR,NO APLICA
1833,2020-10-26,16,1,"3.53013,-76.28964",Palmira,1,,0,,Choque,SAN PEDRO,MOTO
1834,2020-10-26,16,1,"3.53013,-76.28964",Palmira,1,,0,,Choque,SAN PEDRO,MOTO
1835,2020-10-26,16,1,"3.53013,-76.28964",Palmira,1,,0,,Choque,SAN PEDRO,NO APLICA
1836,2020-10-26,9,1,"3.50248,-76.239",Palmira,0,,0,,Choque,CENTRO POBLADO AGUACLARA,AUTOMOVIL
1837,2020-10-26,9,1,"3.50248,-76.239",Palmira,0,,0,,Choque,CENTRO POBLADO AGUACLARA,MOTO
1838,2020-10-27,14,2,"3.51972,-76.29586",Palmira,0,,0,,Choque,RECREO,CAMPERO
1839,2020-10-27,14,2,"3.51972,-76.29586",Palmira,0,,0,,Choque,RECREO,CAMIONETA
1840,2020-10-27,14,2,"3.53103,-76.303",Palmira,1,,0,,Choque,COLOMBIA,AUTOMOVIL
1841,2020-10-27,14,2,"3.53103,-76.303",Palmira,1,,0,,Choque,COLOMBIA,MOTO
1842,2020-10-27,19,2,"3.52978,-76.31143",Palmira,0,,0,,Choque,SANTA BARBARA,AUTOMOVIL
1843,2020-10-27,19,2,"3.52978,-76.31143",Palmira,0,,0,,Choque,SANTA BARBARA,CAMION
1844,2020-10-26,11,1,"3.53265,-76.29708",Palmira,1,,0,,Choque,SANTA RITA,MOTO
1845,2020-10-26,11,1,"3.53265,-76.29708",Palmira,1,,0,,Choque,SANTA RITA,MOTO
1846,2020-10-26,11,1,"3.53265,-76.29708",Palmira,1,,0,,Choque,SANTA RITA,NO APLICA
1847,2020-10-26,10,1,"3.53634,-76.38794",Palmira,0,,0,,Choque,PARQUIADERO AEROPUERTO,TRACTO CAMION
1848,2020-10-26,10,1,"3.53634,-76.38794",Palmira,0,,0,,Choque,PARQUIADERO AEROPUERTO,TRACTO CAMION
1849,2020-10-28,13,3,"3.50508,-76.31013",Palmira,1,,0,,Choque,CHAPINERO SUR,MOTO
1850,2020-10-28,13,3,"3.50508,-76.31013",Palmira,1,,0,,Choque,CHAPINERO SUR,AUTOMOVIL
1851,2020-10-24,18,6,"3.52661,-76.30263",Palmira,0,,0,,Choque,CENTRO,AUTOMOVIL
1852,2020-10-24,18,6,"3.52661,-76.30263",Palmira,0,,0,,Choque,CENTRO,MOTO
1853,2020-10-29,14,4,"3.53046,-76.29333",Palmira,1,,0,,Choque,URIBE,AUTOMOVIL
1854,2020-10-29,14,4,"3.53046,-76.29333",Palmira,1,,0,,Choque,URIBE,MOTO
1855,2020-10-29,14,4,"3.53046,-76.29333",Palmira,1,,0,,Choque,URIBE,NO APLICA
1856,2020-10-29,15,4,"3.53465,-76.29057",Palmira,0,,0,,Choque,SAN PEDRO,AUTOMOVIL
1857,2020-10-29,15,4,"3.53465,-76.29057",Palmira,0,,0,,Choque,SAN PEDRO,CAMIONETA
1858,2020-10-28,15,3,"3.45522,-76.47066",Palmira,1,,0,,Choque,CUIDAD DEL CAMPO,MOTO
1859,2020-10-28,15,3,"3.45522,-76.47066",Palmira,1,,0,,Choque,CUIDAD DEL CAMPO,AUTOMOVIL
1860,2020-10-28,15,3,"3.45522,-76.47066",Palmira,1,,0,,Choque,CUIDAD DEL CAMPO,NO APLICA
1861,2020-10-30,17,5,"3.53815,-76.29875",Palmira,0,,0,,Choque,ESTONIA,AUTOMOVIL
1862,2020-10-30,17,5,"3.53815,-76.29875",Palmira,0,,0,,Choque,ESTONIA,CAMION
1863,2020-10-29,10,4,"3.52071,-76.29498",Palmira,1,,0,,Choque,GUAYACANES,MOTO
1864,2020-10-29,10,4,"3.52071,-76.29498",Palmira,1,,0,,Choque,GUAYACANES,AUTOMOVIL
1865,2020-10-30,13,5,"3.5536,-76.30914",Palmira,0,,0,,Choque,CORONADO,AUTOMOVIL
1866,2020-10-30,13,5,"3.5536,-76.30914",Palmira,0,,0,,Choque,CORONADO,CAMION
1867,2020-10-29,12,4,"3.53334,-76.29617",Palmira,1,,0,,Choque,OBRERO,AUTOMOVIL
1868,2020-10-29,12,4,"3.53334,-76.29617",Palmira,1,,0,,Choque,OBRERO,NO APLICA
1869,2020-10-31,13,6,"3.54738,-76.29436",Palmira,0,,0,,Choque,MERCEDES,AUTOMOVIL
1870,2020-10-31,13,6,"3.54738,-76.29436",Palmira,0,,0,,Choque,MERCEDES,CAMIONETA
1871,2020-11-01,7,7,"3.57287,-76.21604",Palmira,1,,0,,Volcamiento,VIA PALMIRA - POTRERILLO,MOTO
1872,2020-11-01,7,7,"3.57287,-76.21604",Palmira,1,,0,,Volcamiento,VIA PALMIRA - POTRERILLO,NO APLICA
1873,2020-11-01,9,7,"3.53399,-76.29055",Palmira,1,,0,,Atropello,SAN PEDRO,MOTO
1874,2020-11-01,9,7,"3.53399,-76.29055",Palmira,1,,0,,Atropello,SAN PEDRO,BICICLETA
1875,2020-11-01,12,7,"3.54724,-76.26224",Palmira,1,,0,,Choque,CENTRO POBLADO GUAYABAL,BICICLETA
1876,2020-11-01,12,7,"3.54724,-76.26224",Palmira,1,,0,,Choque,CENTRO POBLADO GUAYABAL,CAMPERO
1877,2020-10-31,22,6,"3.55721,-76.30064",Palmira,1,,0,,Choque,ZAMORANO,MOTO
1878,2020-10-31,22,6,"3.55721,-76.30064",Palmira,1,,0,,Choque,ZAMORANO,AUTOMOVIL
1879,2020-10-31,22,6,"3.55721,-76.30064",Palmira,1,,0,,Choque,ZAMORANO,NO APLICA
