,LAT,LON,Cuenta
282,3.52582,-76.30268,2
283,3.52582,-76.30267,2
284,3.52585,-76.30273,2
285,3.52587,-76.29743,2
286,3.52588,-76.29782,2
287,3.52591,-76.29051,2
288,3.52591,-76.2905,2
291,3.52595,-76.29838,2
292,3.52596,-76.30267,2
294,3.52603,-76.30442,2
295,3.52603,-76.29852,2
297,3.5261,-76.29947,2
298,3.5261,-76.29653,2
300,3.52611,-76.2922,2
301,3.52612,-76.2996,2
303,3.52622,-76.29304,2
304,3.52626,-76.29332,2
305,3.52629,-76.28611,2
306,3.52636,-76.30092,2
274,3.52558,-76.30624,2
273,3.52555,-76.30088,2
272,3.52553,-76.29489,2
252,3.5251,-76.30628,2
239,3.52484,-76.30209,2
240,3.52485,-76.30209,2
243,3.52494,-76.30282,2
244,3.52495,-76.29713,2
246,3.52504,-76.30353,2
247,3.52505,-76.27811,2
248,3.52506,-76.30357,2
249,3.52509,-76.29172,2
250,3.52509,-76.27826,2
251,3.5251,-76.3063,2
253,3.52511,-76.27835,2
271,3.52553,-76.30063,2
256,3.52516,-76.27857,2
261,3.52529,-76.29316,2
262,3.52532,-76.29939,2
263,3.52533,-76.3124,2
264,3.52537,-76.29967,2
266,3.52541,-76.28736,2
267,3.52545,-76.29918,2
268,3.52549,-76.28076,2
269,3.52551,-76.29489,2
270,3.52552,-76.29489,2
161,3.52189,-76.30695,2
157,3.52169,-76.30859,2
308,3.52641,-76.29902,2
80,3.51624,-76.30131,2
49,3.50881,-76.29591,2
50,3.50897,-76.29888,2
51,3.50919,-76.30023,2
52,3.50924,-76.30779,2
53,3.50939,-76.30795,2
54,3.50956,-76.30772,2
55,3.50973,-76.30751,2
56,3.51022,-76.40464,2
57,3.51028,-76.30021,2
58,3.51034,-76.40526,2
59,3.5104,-76.30071,2
60,3.51056,-76.30147,2
63,3.51066,-76.29293,2
64,3.51097,-76.29246,2
66,3.51174,-76.30661,2
67,3.51216,-76.29589,2
69,3.51326,-76.30106,2
70,3.51333,-76.3061,2
71,3.51369,-76.29592,2
72,3.51383,-76.29588,2
73,3.51421,-76.30574,2
76,3.51481,-76.29796,2
77,3.51508,-76.30257,2
47,3.50711,-76.31207,2
46,3.50673,-76.31264,2
43,3.5062,-76.30985,2
22,3.50156,-76.22877,2
3,3.45524,-76.47063,2
4,3.45583,-76.4708,2
6,3.4563,-76.46925,2
8,3.45791,-76.46425,2
9,3.46089,-76.46505,2
10,3.46139,-76.46302,2
13,3.47663,-76.19467,2
16,3.4986,-76.31963,2
20,3.50097,-76.29934,2
21,3.50116,-76.31777,2
23,3.50167,-76.22876,2
42,3.50607,-76.30203,2
24,3.50188,-76.31073,2
25,3.50248,-76.239,2
26,3.50271,-76.31674,2
27,3.50293,-76.31644,2
28,3.5034,-76.3018,2
31,3.50371,-76.2981,2
32,3.50508,-76.31013,2
34,3.50534,-76.29749,2
36,3.50548,-76.30029,2
38,3.50554,-76.29915,2
78,3.51589,-76.29097,2
81,3.51635,-76.3027,2
156,3.52168,-76.29805,2
82,3.51683,-76.29132,2
126,3.52049,-76.30189,2
128,3.52054,-76.30227,2
129,3.52061,-76.30281,2
130,3.52062,-76.30281,2
131,3.52065,-76.29589,2
133,3.52071,-76.29498,2
136,3.52073,-76.30351,2
137,3.52076,-76.29096,2
138,3.52077,-76.30379,2
140,3.52077,-76.29,2
141,3.52085,-76.27788,2
142,3.52086,-76.29496,2
143,3.52096,-76.27796,2
144,3.52097,-76.29982,2
145,3.52099,-76.27795,2
147,3.52107,-76.27804,2
148,3.52117,-76.27805,2
149,3.52128,-76.30501,2
151,3.52143,-76.30264,2
152,3.52156,-76.29716,2
153,3.52166,-76.30497,2
154,3.52166,-76.30493,2
155,3.52168,-76.29806,2
125,3.52048,-76.30187,2
124,3.52045,-76.27754,2
123,3.52024,-76.29991,2
103,3.51881,-76.29094,2
83,3.51685,-76.29586,2
85,3.51694,-76.30256,2
88,3.51703,-76.302,2
90,3.51709,-76.30349,2
92,3.5173,-76.30439,2
93,3.51765,-76.28691,2
94,3.51782,-76.30029,2
95,3.51816,-76.30326,2
96,3.51844,-76.30541,2
98,3.51848,-76.29864,2
104,3.51884,-76.30262,2
122,3.52022,-76.29992,2
105,3.51892,-76.30311,2
109,3.51904,-76.3038,2
111,3.51909,-76.30416,2
112,3.51913,-76.29344,2
114,3.51945,-76.30522,2
117,3.5198,-76.3035,2
118,3.51991,-76.277,2
119,3.51992,-76.2974,2
120,3.51993,-76.2974,2
121,3.52014,-76.29907,2
307,3.52636,-76.28654,2
280,3.5257,-76.29653,2
309,3.52642,-76.29901,2
473,3.53045,-76.29337,2
456,3.53004,-76.28864,2
457,3.53006,-76.29668,2
458,3.53007,-76.29667,2
459,3.53008,-76.2967,2
461,3.53009,-76.29038,2
463,3.53016,-76.29745,2
464,3.53016,-76.29744,2
466,3.53023,-76.29166,2
468,3.53031,-76.29253,2
471,3.53042,-76.30772,2
474,3.53046,-76.29928,2
454,3.53003,-76.31395,2
476,3.53055,-76.29987,2
477,3.53056,-76.29412,2
481,3.53059,-76.30011,2
482,3.53059,-76.29415,2
484,3.53068,-76.28869,2
486,3.53072,-76.2925,2
487,3.53074,-76.30105,2
488,3.53076,-76.30103,2
489,3.53077,-76.30431,2
490,3.53078,-76.3013,2
455,3.53004,-76.28865,2
453,3.52995,-76.27705,2
492,3.53083,-76.29652,2
437,3.52951,-76.30315,2
421,3.52926,-76.30763,2
422,3.52931,-76.30788,2
424,3.52933,-76.29175,2
425,3.52934,-76.29176,2
426,3.52934,-76.29049,2
430,3.52937,-76.30852,2
431,3.52938,-76.30226,2
434,3.52947,-76.29263,2
435,3.5295,-76.30315,2
436,3.5295,-76.30223,2
438,3.52958,-76.30314,2
450,3.52986,-76.31501,2
439,3.52964,-76.31035,2
440,3.52969,-76.29751,2
441,3.52969,-76.29427,2
442,3.5297,-76.31079,2
443,3.5297,-76.29426,2
