,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Hora,Tipo de vehiculo,Barrio,Comuna
27324,2018-12-30,7,Bucaramanga,1,,0,,17,"('AUTOMOVIL',)",San Francisco,03. SAN FRANCISCO
27325,2018-12-30,7,Bucaramanga,1,,0,,18,"('PEATON',)",La Salle,06. LA CONCORDIA
27326,2018-12-29,6,Bucaramanga,0,,0,,23,"('OTRO',)",Norte Bajo,03. SAN FRANCISCO
27327,2018-12-31,1,Bucaramanga,0,,0,,2,"('AUTOMOVIL',)",La Aurora,13. ORIENTAL
27328,2018-12-31,1,Bucaramanga,1,,0,,6,,Mutis,17. MUTIS
27329,2018-12-31,1,Bucaramanga,0,,0,,7,"('CAMIONETA', 'CAMION')",García Rovira,15. CENTRO
27330,2018-12-31,1,Bucaramanga,0,,0,,11,"('AUTOMOVIL', 'BUSETA')",El Prado,13. ORIENTAL
27331,2018-12-31,1,Bucaramanga,1,,0,,11,"('AUTOMOVIL',)",Granada,04. OCCIDENTAL
27332,2018-12-31,1,Bucaramanga,1,,0,,11,"('BUSETA',)",El Prado,13. ORIENTAL
27333,2018-12-31,1,Bucaramanga,0,,0,,14,"('AUTOMOVIL', 'CAMIONETA')",Mutis,17. MUTIS
27334,2018-12-31,1,Bucaramanga,1,,0,,15,"('AUTOMOVIL',)",Chorreras Don Juan,05. GARCIA ROVIRA
27335,2018-12-31,1,Bucaramanga,1,,0,,19,"('PEATON', 'AUTOMOVIL')",Sotomayor,12. CABECERA DEL LLANO
27336,2019-01-01,2,Bucaramanga,0,,0,,13,"('CAMIONETA',)",Cabecera del Llano,12. CABECERA DEL LLANO
27337,2019-01-01,2,Bucaramanga,1,,0,,14,"('AUTOMOVIL',)",Vijagual,01. NORTE
27338,2019-01-01,2,Bucaramanga,1,,0,,15,"('AUTOMOVIL', 'MOTO')",Villa Rosa,01. NORTE
27339,2019-01-01,2,Bucaramanga,1,,0,,17,"('AUTOMOVIL', 'MOTO')",San Francisco,03. SAN FRANCISCO
27340,2019-01-01,2,Bucaramanga,1,,0,,18,"('AUTOMOVIL',)",PREDIO URBANO PUENTE EL BUENO,08. SUROCCIDENTE
27341,2019-02-01,3,Bucaramanga,1,,0,,1,"('AUTOMOVIL', 'MOTO')",Bolarquí,12. CABECERA DEL LLANO
27342,2019-02-01,3,Bucaramanga,0,,0,,8,"('AUTOMOVIL',)",Pan de Azúcar,12. CABECERA DEL LLANO
27343,2019-02-01,3,Bucaramanga,0,,0,,9,"('AUTOMOVIL', 'CAMIONETA')",San Alonso,13. ORIENTAL
27344,2019-02-01,3,Bucaramanga,1,,0,,11,"('MOTO',)",Granada,04. OCCIDENTAL
27345,2019-02-01,3,Bucaramanga,1,,0,,13,"('MOTO',)",Alarcón,03. SAN FRANCISCO
27346,2019-02-01,3,Bucaramanga,0,,0,,15,"('AUTOMOVIL', 'BUSETA')",Norte Bajo,03. SAN FRANCISCO
27347,2019-02-01,3,Bucaramanga,1,,0,,16,"('AUTOMOVIL', 'MOTO')",Alfonso López,05. GARCIA ROVIRA
27348,2019-02-01,3,Bucaramanga,1,,0,,16,"('CAMIONETA', 'MOTO')",San Francisco,03. SAN FRANCISCO
27349,2019-02-01,3,Bucaramanga,0,,0,,16,"('AUTOMOVIL',)",El Prado,13. ORIENTAL
27350,2019-02-01,3,Bucaramanga,0,,0,,19,"('BUSETA', 'BUS')",Regaderos Norte,02. NORORIENTAL
27351,2019-02-01,3,Bucaramanga,0,,0,,19,"('CAMIONETA', 'MICRO')",Provenza,10. PROVENZA
27352,2019-02-01,3,Bucaramanga,0,,0,,20,"('AUTOMOVIL', 'CAMIONETA', 'MOTO')",El Prado,13. ORIENTAL
27353,2019-03-01,4,Bucaramanga,0,,0,,7,"('BUS', 'CAMION')",Ciudadela Real de Minas,07. LA CIUDADELA
27354,2019-03-01,4,Bucaramanga,0,,0,,9,"('AUTOMOVIL', 'CAMIONETA')",La Concordia,06. LA CONCORDIA
